iter	Logloss
0	0.6417512904
1	0.6056760813
2	0.5807582281
3	0.5583460837
4	0.5449274379
5	0.5328219029
6	0.5214097581
7	0.5117089256
8	0.5029635177
9	0.4976338477
10	0.4919574476
11	0.4884219177
12	0.4857726285
13	0.4822573501
14	0.4792210308
15	0.4761182226
16	0.4731364107
17	0.470240449
18	0.4672892463
19	0.4659564382
20	0.4644633692
21	0.4620664546
22	0.459730006
23	0.4568076117
24	0.4560854248
25	0.454187856
26	0.4535396419
27	0.4531909732
28	0.4523820614
29	0.450620909
30	0.4494337208
31	0.4484588301
32	0.4479572713
33	0.4470368859
34	0.4470363128
35	0.4457803741
36	0.4447861434
37	0.443293474
38	0.4432336033
39	0.4409017871
40	0.4394263326
41	0.4388892222
42	0.4384108359
43	0.4378445225
44	0.4373196456
45	0.4360043052
46	0.4354700137
47	0.4348671936
48	0.4342572021
49	0.4341336976
50	0.433642252
51	0.433637695
52	0.432428736
53	0.4312453019
54	0.4307514754
55	0.4302304584
56	0.4294270673
57	0.4278447134
58	0.4276278298
59	0.4276087743
60	0.4267865433
61	0.4267530533
62	0.4252481362
63	0.4250069624
64	0.4240920581
65	0.4236670574
66	0.4225767457
67	0.4215154628
68	0.4209661797
69	0.4209550119
70	0.420600763
71	0.4204077724
72	0.4195122341
73	0.4188340393
74	0.4187714486
75	0.4182143448
76	0.4172606526
77	0.4159050746
78	0.4149968337
79	0.4131182793
80	0.4129566433
81	0.4125693812
82	0.4113779159
83	0.4113127638
84	0.4098238269
85	0.4088165446
86	0.4078946427
87	0.4078053047
88	0.4076508025
89	0.4070477781
90	0.4066867155
91	0.4066243474
92	0.4065534222
93	0.4064977966
94	0.4064621245
95	0.4059204075
96	0.4049376321
97	0.4039897894
98	0.4035664216
99	0.4018680291
