iter	Passed	Remaining
0	46	4622
1	89	4369
2	138	4477
3	185	4441
4	209	3972
5	253	3979
6	298	3969
7	345	3973
8	396	4011
9	445	4005
10	494	4000
11	543	3987
12	591	3960
13	641	3943
14	692	3922
15	741	3892
16	795	3882
17	843	3844
18	906	3866
19	968	3872
20	1021	3841
21	1070	3797
22	1126	3770
23	1195	3784
24	1243	3730
25	1292	3678
26	1334	3607
27	1375	3536
28	1423	3485
29	1470	3430
30	1519	3381
31	1571	3338
32	1621	3292
33	1674	3249
34	1701	3159
35	1753	3117
36	1803	3071
37	1851	3021
38	1884	2946
39	1929	2894
40	1981	2851
41	2045	2824
42	2090	2771
43	2139	2722
44	2186	2672
45	2233	2621
46	2283	2575
47	2335	2529
48	2389	2487
49	2440	2440
50	2492	2394
51	2526	2331
52	2579	2287
53	2627	2238
54	2675	2188
55	2723	2140
56	2771	2090
57	2823	2044
58	2874	1997
59	2921	1947
60	2965	1895
61	3015	1848
62	3060	1797
63	3108	1748
64	3160	1701
65	3211	1654
66	3256	1603
67	3302	1554
68	3360	1509
69	3410	1461
70	3476	1420
71	3522	1369
72	3568	1320
73	3618	1271
74	3668	1222
75	3715	1173
76	3764	1124
77	3810	1074
78	3856	1025
79	3915	978
80	3965	930
81	4017	881
82	4067	833
83	4117	784
84	4166	735
85	4215	686
86	4262	636
87	4306	587
88	4356	538
89	4407	489
90	4454	440
91	4499	391
92	4548	342
93	4598	293
94	4643	244
95	4687	195
96	4735	146
97	4783	97
98	4833	48
99	4881	0
